SZ,VZ,VA,gLAI,BRF_toc,BRF_toc(NIR),BRF_toa,,NDVI
10,60,162,1,0.070255,0.363235,0.076802,,0.675863342
10,60,162,2,0.041061,0.442001,0.057569,,0.829996978
10,60,162,3,0.033408,0.508348,0.052586,,0.876667725
10,60,162,4,0.031678,0.554739,0.052342,,0.89196084
10,60,162,5,0.031668,0.594222,0.051837,,0.8988065
10,60,162,6,0.031852,0.625067,0.051651,,0.903026096
10,60,162,7,0.032247,0.655015,0.052148,,0.906158059
10,60,180,0.01,0.190855,0.283929,0.160002,,0.196034407
10,60,180,0.1,0.171123,0.28923,0.144953,,0.256557468
10,60,180,0.5,0.110069,0.322595,0.104596,,0.491203336
10,60,180,1,0.070176,0.362883,0.07645,,0.675905593
10,60,180,2,0.04096,0.441605,0.057354,,0.830240486
10,60,180,3,0.033313,0.507927,0.052942,,0.87690119
10,60,180,4,0.031583,0.554242,0.051809,,0.892175991
10,60,180,5,0.031557,0.593778,0.052248,,0.899071698
10,60,180,6,0.03173,0.624191,0.051782,,0.903250544
10,60,180,7,0.032137,0.654555,0.051877,,0.906400541
20,30,0,0.01,0.191394,0.284145,0.171381,,0.19504394
20,30,0,0.1,0.177313,0.289889,0.159508,,0.240957873
20,30,0,0.5,0.13144,0.324521,0.124549,,0.423459463
20,30,0,1,0.098302,0.37547,0.098211,,0.58502402
20,30,0,2,0.066928,0.461843,0.074854,,0.746854498
